Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
2021-05-25,9376,5056,6744,1458,631,238,7145,8439,2231,937
2021-06-01,7602,4386,5865,718,491,179,5595,6761,2007,841
2021-06-08,7948,4857,6056,854,235,143,5946,7053,2002,895
2021-06-15,7823,4331,5975,900,631,145,5862,7020,1960,802
2021-06-22,8344,4575,6103,1102,645,157,6322,7362,2022,982
2021-06-29,7004,3863,5166,795,672,186,5329,6147,1675,858
2021-07-06,7138,4064,5284,841,562,183,5467,6309,1670,829
2021-07-13,7418,4534,5633,728,545,187,5808,6549,1610,869
2021-07-20,8642,5498,6594,901,608,205,7007,7700,1636,943
2021-07-27,8079,3801,5310,1775,730,171,6305,7256,1774,823
2021-08-03,6559,3902,5145,464,548,132,4914,5741,1645,818
2021-08-10,6954,4402,5483,426,286,215,5114,6124,1840,829
2021-08-17,7552,4834,5535,499,293,630,5626,6664,1926,888
2021-08-24,7736,4525,5610,875,335,375,5735,6860,2001,876
2021-08-31,6509,4050,5170,307,370,406,4728,5884,1782,626
2021-09-07,6854,4198,5291,381,372,486,4951,6158,1903,696
2021-09-14,6844,3900,5076,683,392,306,4975,6065,1869,779
2021-09-21,7647,4432,5434,907,401,379,5740,6721,1907,927
2021-09-28,7234,4561,5457,649,495,301,5705,6407,1529,827
2021-10-05,9037,5607,7122,1024,602,45,7234,8191,1803,846
2021-10-12,11089,6851,8270,1741,691,134,9283,10145,1806,944
2021-10-19,13872,7084,9908,2361,486,240,9932,12510,3940,1362
2021-10-26,16938,7134,11525,3958,972,389,12064,15872,4874,1066
2021-11-02,13696,9082,10710,1892,733,306,11708,12908,1988,788
2021-11-09,14010,9278,10755,2044,569,343,11890,13142,2120,868
2021-11-16,13879,8647,10144,2483,683,321,11813,12948,2066,931
2021-11-23,14623,9087,9265,2412,967,237,12467,11914,2156,2709
2021-11-30,13417,9504,11231,1216,831,126,11550,12572,1867,845
2021-12-07,13601,9601,10535,1815,472,340,11888,12690,1713,911
2021-12-14,13945,9805,10603,2087,441,164,12333,12854,1613,1092
2021-12-21,13269,8624,9520,2420,418,369,11462,12310,1807,960
2021-12-28,12904,8766,9325,2045,436,658,11248,12028,1657,876
2022-01-04,10909,7770,8390,1166,450,530,9386,10086,1522,823
2022-01-11,11334,7923,8327,1563,369,529,9855,10419,1479,915
2022-01-18,12020,8412,8963,1797,372,377,10581,11137,1440,884
2022-01-25,12584,8582,8646,2134,355,763,11071,11543,1513,1041
2022-02-01,10342,7944,7831,817,314,795,9076,9443,1266,899
2022-02-08,10218,7774,8108,555,379,565,8708,9228,1510,989
2022-02-15,11007,8322,8551,909,371,582,9603,10042,1404,965
2022-02-22,11497,8514,8767,1283,323,578,10120,10628,1377,869
2022-03-01,10210,7973,7889,693,326,838,8992,9420,1217,789
2022-03-08,9931,7789,7537,866,295,694,8951,9097,981,834
2022-03-15,10551,8012,7834,1185,292,732,9488,9751,1062,800
2022-03-22,11587,8532,8544,1435,327,807,10294,10786,1293,801
