Date,Open Interest,Open,High,Low,Close,Volume,Long Short Ratio
2019-07-23,4928,10346.748047,10346.748047,9883.594727,9900.767578,17851916995,0.7204301075268817
2019-07-30,4302,9522.329102,9701.759766,9437.335938,9607.423828,13829811132,0.7299711058576307
2019-08-06,4692,11811.544922,12273.821289,11290.731445,11478.168945,23635107660,0.6975397973950795
2019-08-13,4729,11385.052734,11420.049805,10830.327148,10895.830078,16681503537,0.7080760095011877
2019-08-20,4485,10916.34668,10947.041992,10618.960938,10763.232422,15053082175,0.6874537835839291
2019-08-27,4091,10372.826172,10381.328125,10087.300781,10185.5,14762609503,0.6614481409001957
2019-09-03,4493,10345.725586,10736.104492,10308.547852,10623.540039,19384917989,0.7173859432799014
2019-09-10,4128,10336.408203,10394.353516,10020.573242,10115.975586,14906809639,0.7342942616263258
2019-09-17,4174,10281.513672,10296.771484,10199.739258,10241.272461,15304603363,0.71286350537071
2019-09-24,4178,9729.321289,9804.317383,8370.801758,8620.566406,25002886689,0.6997804610318331
2019-10-01,3348,8299.720703,8497.692383,8232.679688,8343.276367,15305343413,0.691402069211559
2019-10-08,3335,8246.849609,8332.714844,8185.763184,8228.783203,15592264032,0.6814190375834211
2019-10-15,3444,8373.458008,8410.714844,8182.706543000001,8205.369141,15220412632,0.7005532503457814
2019-10-22,3093,8243.402344,8296.651367,8074.462890999999,8078.203125,16803377857,0.6893908834207342
2019-10-29,3155,9248.44043,9516.180664,9232.648438,9427.6875,28426779937,0.7298999629492404
2019-11-05,3520,9413.004883,9457.417969,9256.931641,9342.527344,26198609048,0.7084130019120459
2019-11-12,3091,8759.751953,8853.768555,8685.427734,8815.662109,20309769107,0.6774794929157345
2019-11-19,3157,8305.134766,8408.516602,8099.963379000001,8206.145508,21083613816,0.6585365853658537
2019-11-26,3554,7145.15918,7320.230469,7098.572265999999,7218.371094,21129505542,0.6511226252158895
2019-12-03,2983,7323.975586,7418.858887,7229.356934,7320.145508,14797485769,0.6734143049932524
2019-12-10,3232,7397.134276999999,7424.022948999999,7246.043945,7278.119629000001,18249031195,0.6570650058388477
2019-12-17,3840,6931.31543,6964.075195,6587.974121,6640.515136999999,22363804217,0.6497915425848719
2019-12-24,3541,7354.393066,7535.716797,7269.528809,7322.532227,22991622105,0.582258571877949
2019-12-31,3186,7294.438965,7335.290039,7169.777831999999,7193.599120999999,21167946112,0.6403355470115344
2020-01-07,5400,7768.682129000001,8178.21582,7768.227539,8163.692383,28767291327,0.7174084285151634
